t [s],P [Pa],T [K],D [kg/m^3],Hlv [J/kg],Volume [m^3],Mass [kg],X1 [m],X2 [m],V1 [m/s],V2 [m/s],dMdt [kg/s],dVolume/dt [m^3/s],covered percentage,bubble label
0.0,194889.50411716776,291.19999999999993,5.003801517028921,368421.0198371096,1.1492996261680954e-7,5.750867212940688e-7,0.8533761538929445,0.9710743787585941,0.0,0.0,-2.6469779601696886e-19,0.0,0.3,1.0
0.0004,194889.50411716773,291.19999999999993,5.00380151702892,368421.0198371096,1.1492996261680954e-7,5.750867212940687e-7,0.8533761538929445,0.9710743787585941,-4.475126132941107e-16,-3.2025027841478955e-17,8.32801688230083e-10,1.4867330077977353e-12,0.3,1.0
0.0008,194889.7412919747,291.2000371283002,5.003807262179056,368420.9834805579,1.1492996380619595e-7,5.750873875354194e-7,0.853376153879428,0.9710743787877144,-1.0121214296960201e-7,2.1246673929695334e-7,2.4606192233599998e-9,4.700385439539534e-12,0.2999999248300948,1.0
0.0012000000000000001,194890.2044381338,291.20010963106677,5.0038184810949815,368420.91248483333,1.149299663771179e-7,5.750886897894474e-7,0.8533761537702159,0.9710743790099361,-5.115381606168168e-7,1.0099853589029809e-6,4.014757306008379e-9,8.665247817553714e-12,0.29999977771211056,1.0
0.0016,194890.8825064858,291.2002157786197,5.003834906129893,368420.8085436626,1.149299707383942e-7,5.750905993412642e-7,0.8533761533940315,0.9710743797159288,-1.4695610426748254e-6,2.6384996745770968e-6,5.4989519979969786e-9,1.386764697055125e-11,0.29999956306068565,1.0
0.002,194891.76466783218,291.20035387571255,5.003856274965157,368420.6733170548,1.1492997747123547e-7,5.750930889510458e-7,0.8533761524729959,0.9710743812609792,-3.2689404268200813e-6,5.165271342382209e-6,6.916834241579476e-9,2.067178997630004e-11,0.2999992862235791,1.0
0.0024000000000000002,194892.8403926351,291.2005222740091,5.003882332540903,368420.50841908396,1.1492998727582618e-7,5.750961328086574e-7,0.8533761505966492,0.9710743839852429,-6.27592654170612e-6,8.443692953599263e-6,8.271911074500628e-9,2.930228441253099e-11,0.2999989531641834,1.0
0.0028000000000000004,194894.09953641635,291.2007193854518,5.003912833124665,368420.31540479814,1.14930000913063e-7,5.750997064799054e-7,0.8533761471904019,0.9710743881235588,-1.0939370644059198e-5,1.2096873035563368e-5,9.567544018612368e-9,3.9837690484063186e-11,0.29999857011613773,1.0
0.0032000000000000006,194895.5324225213,291.2009436952182,5.003947542316192,368420.09575753286,1.1493001914597857e-7,5.751037868438723e-7,0.8533761414815357,0.9710743937125108,-1.7792853586326718e-5,1.55203541677065e-5,1.080692747060748e-8,5.221520180627974e-11,0.2999981432365786,1.0
0.0036000000000000008,194897.1299145842,291.2011937730647,5.003986238802803,368419.85087780247,1.1493004268522445e-7,5.751083520218818e-7,0.8533761324659239,0.9710744005023155,-2.744903704619041e-5,1.7903088521875327e-5,1.199306965846902e-8,6.624568856137853e-11,0.2999976782842166,1.0
0.004000000000000001,194898.88347219912,291.2014682820418,5.0040287157079115,368419.5820747669,1.1493007214252942e-7,5.751133812995991e-7,0.8533761188785141,0.9710744078805243,-4.058677952053389e-5,1.8264633525845523e-5,1.3128778319201957e-8,8.163763522848802e-11,0.2999971803456381,1.0
0.004400000000000001,194900.7851848605,291.201765983807,5.00407478141318,368419.29056102823,1.1493010799533263e-7,5.751188550445372e-7,0.8533760991703125,0.9710744148134993,-5.793195200475881e-5,1.550554870837266e-5,1.4216652717268197e-8,9.802791979228064e-11,0.2999966536288591,1.0
0.004800000000000001,194902.82778109302,291.2020857400543,5.004124259779675,368418.9774512318,1.1493015056486525e-7,5.751247546217729e-7,0.8533760714941674,0.9710744198102476,-8.023321934940954e-5,8.467227640896732e-6,1.5259083026252517e-8,1.1501696933259659e-10,0.2999961013376008,1.0
0.0052000000000000015,194905.00461167272,291.20242650988735,5.00417698974143,368418.6437646379,1.149302000089081e-7,5.751310623109582e-7,0.8533760337010782,0.9710744208903335,-0.00010823430882217539,-4.003113377525273e-6,1.625825730563473e-8,1.3220553564729733e-10,0.2999955255070988,1.0
0.005600000000000002,194907.30960788723,291.20278734328554,5.004232824294368,368418.29043151985,1.1493025632929377e-7,5.751377612276174e-7,0.8533759833481142,0.9710744152866974,-0.00014264445636815736,-2.2986714783978364e-5,1.721617584436621e-8,1.4923063547233124e-10,0.29999492519397897,1.0
0.006000000000000002,194909.73721720112,291.2031673710324,5.004291628937904,368417.91830302676,1.1493031939341647e-7,5.751448352516337e-7,0.8533759177183194,0.9710743998556275,-0.00018410879467061923,-4.943061513954143e-5,1.8134672555333936e-8,1.6579790307059012e-10,0.29999429880016515,1.0
0.006400000000000002,194912.28232114093,291.2035657918617,5.0043532796858585,368417.5281637698,1.1493038896761623e-7,5.751522689656617e-7,0.8533758338522759,0.9710743711868484,-0.00023318042622456114,-8.409345006067414e-5,1.9015441737895876e-8,1.8170798326569363e-10,0.29999364454336064,1.0
0.006800000000000002,194914.94014069322,291.2039818576472,5.004417660774884,368417.1207463244,1.1493046475980309e-7,5.75160047605024e-7,0.8533757285903086,0.9710743255899048,-0.00029029581974774043,-0.00012750143878477628,1.9860068203401836e-8,1.968756242759958e-10,0.2999929601278529,1.0
0.007200000000000002,194917.7061353823,291.2044148576047,5.004484662219797,368416.6967467007,1.1493054646811565e-7,5.751681570202244e-7,0.8533755986236963,0.9710742592021523,-0.00035575496474162655,-0.00017991798409934903,2.0670059195233036e-8,2.1134024400392438e-10,0.2999922430842969,1.0
0.007600000000000003,194920.575902634,291.20486410253744,5.004554177375841,368416.25683976966,1.1493063383199829e-7,5.751765836523802e-7,0.8533754405527233,0.9710741681067128,-0.0004297074487968189,-0.0002413283455406699,2.1446876036732345e-8,2.2526741920923774e-10,0.2999914911273489,1.0
0.008000000000000002,194923.54508379204,291.20532891012374,5.004626100662094,368415.8016936702,1.1493072668205102e-7,5.751853145210538e-7,0.8533752509490056,0.9710740484536751,-0.0005121452919580782,-0.0003114400365231397,2.2191963526423925e-8,2.3894150800094673e-10,0.2999907025064946,1.0
0.008400000000000001,194926.60928252235,291.20580859214374,5.004700325584954,368415.33198231686,1.1493082498520469e-7,5.751943372232013e-7,0.8533750264192586,0.9710738965777554,-0.0006029030006640784,-0.00038969860455217564,2.290677532689938e-8,2.5275019236283873e-10,0.299989876326624,1.0
0.0088,194929.76400033862,291.2063024443864,5.00477674317636,368414.8483952831,1.1493092888220491e-7,5.752036399413153e-7,0.8533747636675704,0.9710737091059859,-0.0007016649097587771,-0.00047531752016946875,2.359279391151723e-8,2.6716226226598133e-10,0.2999890128176854,1.0
0.0092,194933.00459267254,291.2068097397722,5.004855240929665,368414.3516445353,1.149310387150145e-7,5.752132114583306e-7,0.8533744595532927,0.9710734830497341,-0.0008079794861741197,-0.0005673200809481747,2.4251544034476687e-8,2.8270038243450246e-10,0.29998811353684096,1.0
0.0096,194936.32624742258,291.2073297249953,5.00493570228002,368413.84246772097,1.1493115504251085e-7,5.752230411765429e-7,0.8533741111418737,0.9710732158764174,-0.000921279892422644,-0.0006645905766585001,2.4884599161782977e-8,2.999108673314438e-10,0.29998718149162235,1.0
0.009999999999999998,194939.7239863317,291.2078616207393,5.005018006637741,368413.32162795775,1.1493127864370837e-7,5.7523311913766e-7,0.8533737157463058,0.9710729055575775,-0.001040909771481858,-0.0007659314955712835,2.549358079481211e-8,3.193326201958872e-10,0.29998622117824786,1.0
0.010399999999999998,194943.1926880072,291.2084046252809,5.005102029945937,368412.78991030436,1.1493141050860701e-7,5.752434360411787e-7,0.8533732709573424,0.9710725505914413,-0.0011661529350562806,-0.0008701232999903627,2.6080151083918887e-8,3.414673639542181e-10,0.29998523853510234,1.0
0.010799999999999997,194946.72712998991,291.20895792107507,5.005187645699553,368412.2481153123,1.1493155181759953e-7,5.752539832585271e-7,0.8533727746612102,0.9710721499996161,-0.0012962654287679504,-0.0009759832683351653,2.6645999569724295e-8,3.667531210652246e-10,0.29998424081699143,1.0
0.011199999999999996,194950.32204611046,291.2095206837346,5.005274726334729,368411.6970502331,1.1493170391110386e-7,5.752647528408345e-7,0.8533722250441901,0.9710717032990558,-0.0014305083217631914,-0.0010824200839728009,2.719282524970748e-8,3.955425936989505e-10,0.2999832364007765,1.0
